target,prime,rt,key,participant,primetype,relationtype,primert,paikka
СТРАДАТЬ,пострадать,1.34089359990321,j,L21,related,derivation,der,labra
СМОТРЕТЬ,посмотреть,0.759896200033836,j,L21,related,derivation,der,labra
СТОЯТЬ,постоять,0.825098900008015,j,L21,related,derivation,der,labra
ИГРАТЬ,поиграть,0.780271199997515,j,L21,related,derivation,der,labra
СТАВИТЬ,поставить,0.834353899932466,j,L21,related,derivation,der,labra
СЛУШАТЬ,послушать,1.04716770001687,j,L21,related,derivation,der,labra
КУРИТЬ,покурить,1.02336670004297,j,L21,related,derivation,der,labra
СЧИТАТЬ,посчитать,0.770676999934949,j,L21,related,derivation,der,labra
ЖЕЛАТЬ,пожелать,0.883155100047588,j,L21,related,derivation,der,labra
ИСКАТЬ,поискать,0.776597999967635,j,L21,related,derivation,der,labra
ТЕРЯТЬ,потерять,1.35552969994023,j,L21,related,derivation,der,labra
ТРАТИТЬ,потратить,0.930081600090489,j,L21,related,derivation,der,labra
СИДЕТЬ,первый,0.766584799974225,j,L21,unrelated,derivation,unrel,labra
ДУМАТЬ,другой,1.38422460004222,j,L21,unrelated,derivation,unrel,labra
ГОВОРИТЬ,все-таки,0.789786400040612,j,L21,unrelated,derivation,unrel,labra
ЛЕЖАТЬ,полежать,0.963966800016351,j,L21,related,derivation,der,labra
ДЕРЖАТЬ,работа,1.01064310001675,j,L21,unrelated,derivation,unrel,labra
ВЕРИТЬ,самый,1.09845900000073,j,L21,unrelated,derivation,unrel,labra
СТРОИТЬ,область,0.876318700029515,j,L21,unrelated,derivation,unrel,labra
ПЛАКАТЬ,плакал,0.753114999970421,j,L21,related,inflection,inf,labra
ВЫБРАТЬ,выбрал,0.792659500031732,j,L21,related,inflection,inf,labra
ВСТРЕЧАТЬ,встречал,0.758414299925789,j,L21,related,inflection,inf,labra
КРИЧАТЬ,кричал,0.739779100054875,j,L21,related,inflection,inf,labra
СООБЩИТЬ,сообщил,0.804619299946353,j,L21,related,inflection,inf,labra
УБИТЬ,убил,0.71200709999539,j,L21,related,inflection,inf,labra
БЕЖАТЬ,бежал,0.833002100000158,j,L21,related,inflection,inf,labra
БРОСИТЬ,никакой,0.931368199991994,j,L21,unrelated,inflection,unrel,labra
УМЕТЬ,умел,0.735125999897718,j,L21,related,inflection,inf,labra
ПОНЯТЬ,хорошо,0.825793500058353,j,L21,unrelated,inflection,unrel,labra
НАЧАТЬ,всякий,0.771712300018407,j,L21,unrelated,inflection,unrel,labra
ПИСАТЬ,черный,0.686042400076985,j,L21,unrelated,inflection,unrel,labra
РЕШИТЬ,далекий,0.836910999962129,j,L21,unrelated,inflection,unrel,labra
СЛЫШАТЬ,история,1.19146159989759,j,L21,unrelated,inflection,unrel,labra
ПОМНИТЬ,власть,1.32684069999959,j,L21,unrelated,inflection,unrel,labra
УЗНАТЬ,тысяча,0.832907799980603,j,L21,unrelated,inflection,unrel,labra
ОЖИДАТЬ,внимание,1.30692820006516,j,L21,unrelated,inflection,unrel,labra
СНИМАТЬ,развитие,0.831728300079703,j,L21,unrelated,inflection,unrel,labra
ЗАБЫТЬ,забыл,1.0710548000643,j,L21,related,inflection,inf,labra
СОБРАТЬ,собрал,0.924072400084697,j,L21,related,inflection,inf,labra
СМОТРЕТЬ,посмотреть,0.732157499995083,j,L23,related,derivation,der,labra
СТОЯТЬ,постоять,0.966716399998404,j,L23,related,derivation,der,labra
ИГРАТЬ,поиграть,0.745236800052226,j,L23,related,derivation,der,labra
СТАВИТЬ,поставить,0.881460599950515,j,L23,related,derivation,der,labra
СЛУШАТЬ,послушать,1.13351249997504,j,L23,related,derivation,der,labra
ПРОСИТЬ,попросить,0.992641599965282,j,L23,related,derivation,der,labra
КУРИТЬ,покурить,0.781962300068699,j,L23,related,derivation,der,labra
ИСКАТЬ,поискать,0.606107299914584,j,L23,related,derivation,der,labra
ТЕРЯТЬ,потерять,1.12724820000585,j,L23,related,derivation,der,labra
СИДЕТЬ,первый,0.758279699948616,j,L23,unrelated,derivation,unrel,labra
ДУМАТЬ,другой,0.59755100007169,j,L23,unrelated,derivation,unrel,labra
ГОВОРИТЬ,все-таки,0.632730199955404,j,L23,unrelated,derivation,unrel,labra
ЛЕЖАТЬ,полежать,0.732831800007261,j,L23,related,derivation,der,labra
ВЕРИТЬ,самый,0.695177800022066,j,L23,unrelated,derivation,unrel,labra
ПЛАКАТЬ,плакал,0.796157700009644,j,L23,related,inflection,inf,labra
ВЫБРАТЬ,выбрал,0.847522599971853,j,L23,related,inflection,inf,labra
СООБЩИТЬ,сообщил,0.979220799985342,j,L23,related,inflection,inf,labra
УБИТЬ,убил,0.95189060003031,j,L23,related,inflection,inf,labra
БРОСИТЬ,никакой,0.907899499987252,j,L23,unrelated,inflection,unrel,labra
УМЕТЬ,умел,0.669417300028726,j,L23,related,inflection,inf,labra
ПОНЯТЬ,хорошо,0.717809699941427,j,L23,unrelated,inflection,unrel,labra
НАЧАТЬ,всякий,0.633779800031334,j,L23,unrelated,inflection,unrel,labra
ПИСАТЬ,черный,0.757255399948917,j,L23,unrelated,inflection,unrel,labra
РЕШИТЬ,далекий,0.726705999928527,j,L23,unrelated,inflection,unrel,labra
СЛЫШАТЬ,история,1.1898688999936,j,L23,unrelated,inflection,unrel,labra
ПОМНИТЬ,власть,1.76799490000121,j,L23,unrelated,inflection,unrel,labra
УЗНАТЬ,тысяча,0.722518300055526,j,L23,unrelated,inflection,unrel,labra
СНИМАТЬ,развитие,0.990631300024688,j,L23,unrelated,inflection,unrel,labra
СТРАДАТЬ,пострадать,0.804067199816927,j,L26,related,derivation,der,labra
СМОТРЕТЬ,посмотреть,0.544028399977833,j,L26,related,derivation,der,labra
СТОЯТЬ,постоять,0.704055299982429,j,L26,related,derivation,der,labra
ИГРАТЬ,поиграть,0.641841700067744,j,L26,related,derivation,der,labra
СТАВИТЬ,поставить,0.535389899974689,j,L26,related,derivation,der,labra
СЛУШАТЬ,послушать,0.543978399829939,j,L26,related,derivation,der,labra
ПРОСИТЬ,попросить,0.531489299843088,j,L26,related,derivation,der,labra
КУРИТЬ,покурить,0.541604900034145,j,L26,related,derivation,der,labra
СЧИТАТЬ,посчитать,0.589834999991581,j,L26,related,derivation,der,labra
ЖЕЛАТЬ,пожелать,0.694686400005594,j,L26,related,derivation,der,labra
ИСКАТЬ,поискать,0.498418100178242,j,L26,related,derivation,der,labra
ТЕРЯТЬ,потерять,0.55852170009166,j,L26,related,derivation,der,labra
ТРАТИТЬ,потратить,0.591428000014275,j,L26,related,derivation,der,labra
СИДЕТЬ,первый,0.59457640000619,j,L26,unrelated,derivation,unrel,labra
ДУМАТЬ,другой,0.530850399984047,j,L26,unrelated,derivation,unrel,labra
ГОВОРИТЬ,все-таки,0.662217899924144,j,L26,unrelated,derivation,unrel,labra
ЗВОНИТЬ,большой,0.506192999891937,j,L26,related,derivation,der,labra
ДЕРЖАТЬ,работа,0.566489299992099,j,L26,unrelated,derivation,unrel,labra
ВЕРИТЬ,самый,0.554729900090024,j,L26,unrelated,derivation,unrel,labra
СТРОИТЬ,область,0.61086090002209,j,L26,unrelated,derivation,unrel,labra
ПЛАКАТЬ,плакал,,None,L26,related,inflection,inf,labra
ВЫБРАТЬ,выбрал,0.492890000110492,j,L26,related,inflection,inf,labra
ВСТРЕЧАТЬ,встречал,0.629952500108629,j,L26,related,inflection,inf,labra
КРИЧАТЬ,кричал,0.581142400158569,j,L26,related,inflection,inf,labra
УБИТЬ,убил,0.727714900160208,j,L26,related,inflection,inf,labra
БЕЖАТЬ,бежал,0.526901999954134,j,L26,related,inflection,inf,labra
БРОСИТЬ,никакой,0.581533600110561,j,L26,unrelated,inflection,unrel,labra
УМЕТЬ,умел,0.525415500160307,j,L26,related,inflection,inf,labra
ПОНЯТЬ,хорошо,0.577192299999297,j,L26,unrelated,inflection,unrel,labra
ПИСАТЬ,черный,0.54683420015499,j,L26,unrelated,inflection,unrel,labra
РЕШИТЬ,далекий,0.659060799982399,j,L26,unrelated,inflection,unrel,labra
СЛЫШАТЬ,история,0.70865450007841,j,L26,unrelated,inflection,unrel,labra
ПОМНИТЬ,власть,0.562230900162831,j,L26,unrelated,inflection,unrel,labra
УЗНАТЬ,тысяча,0.786700899945572,j,L26,unrelated,inflection,unrel,labra
ОЖИДАТЬ,внимание,0.944971600081772,j,L26,unrelated,inflection,unrel,labra
