marker;stem;asp;luokka;freq;infl;prof;lang
suffix;PF/IPF;imp;eka;high;past;C2;chi
suffix;PF/IPF;imp;eka;high;past;B2;fin
suffix;PF/IPF;imp;eka;high;past;A2;fr
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;B2;eng
suffix;PF/IPF;imp;eka;high;infinite;B2;eng
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;A2;eng
suffix;PF/IPF;imp;eka;high;infinite;B2;eng
suffix;PF/IPF;imp;eka;high;infinite;A2;fr
simplex;IPF/PF;imp;eka;high;infinite;B2;eng
simplex;PF/IPF;imp;viides;high;past;B2;eng
simplex;PF/IPF;imp;viides;high;past;B2;fin
suffix;PF/IPF;imp;eka;high;past;B2;eng
suffix;PF/IPF;imp;eka;high;past;B2;eng
suffix;PF/IPF;imp;eka;high;past;A2;eng
suffix;PF/IPF;imp;eka;high;past;B2;eng
suffix;PF/IPF;imp;eka;high;infinite;A2;fr
suffix;PF/IPF;imp;eka;high;infinite;A2;eng
suffix;PF/IPF;imp;eka;high;infinite;B2;eng
suffix;PF/IPF;imp;eka;high;infinite;B2;eng
suffix;PF/IPF;imp;eka;high;infinite;B2;eng
suffix;PF/IPF;imp;eka;high;infinite;B2;eng
suffix;PF/IPF;imp;eka;high;infinite;B1;fr
suffix;PF/IPF;imp;eka;high;infinite;A2;eng
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;A2;fr
suffix;PF/IPF;imp;eka;high;infinite;B2;fin
suffix;PF/IPF;imp;eka;high;infinite;B1;fr
suffix;PF/IPF;imp;eka;high;non-past;B2;fin
suffix;PF/IPF;imp;eka;high;non-past;B2;fin
suffix;PF/IPF;imp;eka;high;past;B2;eng
