marker,stem,asp,luokka,freq,infl,prof,lang
simplex,HCB/CB,imp,viides,high,infinite,A1,fr
suffix,CB/HCB,imp,eka,high,infinite,B1,chi
suffix,CB/HCB,imp,eka,high,infinite,A2,fr
suffix,CB/HCB,imp,eka,high,infinite,A2,fr
suffix,CB/HCB,imp,eka,high,infinite,B1,eng
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,past,Other,ger
suffix,CB/HCB,imp,eka,high,infinite,B1,ger
suffix,CB/HCB,imp,eka,high,past,B2,eng
suffix,CB/HCB,imp,viides,high,past,B2,fin
prefix+suffix,CB/HCB,imp,eka,high,past,B2,fin
suffix,CB/HCB,imp,eka,high,past,B2,fin
suffix,CB/HCB,imp,eka,high,past,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
prefix,CB/HCB,perf,viides,low,infinite,B2,fin
prefix+suffix,CB/HCB,imp,eka,low,infinite,B2,fin
suffix,CB/HCB,imp,eka,low,non-past,B2,fin
suffix,CB/HCB,imp,eka,low,non-past,B2,fr
suffix,CB/HCB,imp,eka,same,past,B1,fr
suffix,CB/HCB,imp,eka,same,past,A1,fr
prefix+suffix,CB/HCB,imp,eka,same,non-past,B2,fin
suffix,CB/HCB,imp,eka,same,infinite,B2,fin
prefix+suffix,CB/HCB,imp,eka,high,past,B2,fin
prefix+suffix,CB/HCB,imp,eka,high,non-past,B1,eng
prefix+suffix,CB/HCB,imp,eka,high,non-past,B2,fin
suffix,CB/HCB,imp,eka,high,past,B2,fin
suffix,CB/HCB,imp,eka,high,past,B2,fin
prefix,CB/HCB,imp,viides,same,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,A2,fr
suffix,CB/HCB,imp,eka,low,past,B2,fin
prefix+suffix,CB/HCB,imp,eka,low,non-past,A2,fr
prefix+suffix,CB/HCB,imp,eka,same,past,B2,fin
prefix+suffix,CB/HCB,imp,eka,same,infinite,A1,fr
prefix+suffix,CB/HCB,imp,eka,low,infinite,B1,fr
prefix+suffix,CB/HCB,imp,eka,high,past,B1,fr
prefix+suffix,CB/HCB,imp,eka,low,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B1,eng
