marker,stem,asp,prof,lang
simplex,IPF/PF,imp,A1,fr
suffix,PF/IPF,imp,B1,chi
suffix,PF/IPF,imp,A2,fr
suffix,PF/IPF,imp,A2,fr
suffix,PF/IPF,imp,B1,eng
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,Other,ger
suffix,PF/IPF,imp,B1,ger
suffix,PF/IPF,imp,B2,eng
suffix,PF/IPF,imp,B2,fin
prefix+suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
prefix+suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fr
suffix,PF/IPF,imp,B1,fr
suffix,PF/IPF,imp,A1,fr
prefix+suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
prefix+suffix,PF/IPF,imp,B2,fin
prefix+suffix,PF/IPF,imp,B1,eng
prefix+suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
prefix,IPF/PF,perf,B2,fin
suffix,PF/IPF,imp,A2,fr
suffix,PF/IPF,imp,B2,fin
prefix+suffix,PF/IPF,imp,A2,fr
prefix+suffix,PF/IPF,imp,B2,fin
prefix+suffix,PF/IPF,imp,A1,fr
prefix+suffix,PF/IPF,imp,B1,fr
prefix+suffix,PF/IPF,imp,B1,fr
prefix+suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B1,eng
suffix,PF/IPF,imp,B1,eng
prefix+suffix,PF/IPF,imp,B2,eng
suffix,PF/IPF,imp,B1,fr
suffix,PF/IPF,imp,B1,fr
suffix,PF/IPF,imp,A2,fr
suffix,IPF/PF,imp,A1,fr
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,B2,eng
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,B2,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,eng
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,B2,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,B2,eng
simplex,IPF/PF,imp,A2,ger
simplex,IPF/PF,imp,A2,fr
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
prefix+suffix,PF/IPF,imp,B2,fin
simplex,IPF/PF,imp,B2,eng
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,B1,ger
simplex,IPF/PF,imp,B2,fr
simplex,IPF/PF,imp,B2,eng
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,A1,fr
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,A2,fr
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,A1,fr
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,A1,fr
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,A1,fr
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,A1,fr
simplex,IPF/PF,imp,B1,fr
suffix,PF/IPF,imp,B2,fin
simplex,IPF/PF,imp,B1,fr
simplex,IPF/PF,imp,B2,eng
suffix,PF/IPF,imp,A2,fr
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,A2,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,B2,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,C2,chi
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,A1,fr
simplex,IPF/PF,imp,B2,fin
prefix,IPF/PF,perf,B2,fin
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,eng
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
prefix,IPF/PF,perf,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B1,eng
prefix,IPF/PF,perf,B1,eng
prefix,IPF/PF,perf,B2,fin
prefix,IPF/PF,perf,B2,fin
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,A2,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,ger
simplex,IPF/PF,imp,,ger
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B1,eng
simplex,IPF/PF,imp,B2,fin
simplex,IPF/PF,imp,B2,fin
suffix,PF/IPF,imp,B2,eng
prefix,sup,imp,A2,fr
prefix,sup,imp,B2,eng
prefix,sup,imp,B1,eng
prefix,sup,imp,B2,fin
prefix,motion,imp,A2,eng
suffix,motion,imp,B1,nor
prefix,motion,imp,B2,eng
prefix,motion,imp,A2,eng
prefix,motion,imp,B1,ger
prefix,motion,imp,B2,eng
prefix,motion,imp,B1,eng
suffix,PF/IPF,imp,B1,eng
suffix,PF/IPF,imp,B2,eng
suffix,PF/IPF,imp,B2,fin
prefix,motion,imp,A2,fr
prefix,motion,imp,B2,fin
prefix,motion,imp,B1,eng
prefix,motion,imp,B1,fr
prefix,motion,imp,,ger
prefix,motion,imp,B2,fin
prefix,motion,imp,B2,fin
prefix+suffix,PF/IPF,imp,B2,fin
prefix+suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
suffix,PF/IPF,imp,B2,fin
