,target2,prime2,rt,key,participant,primetype,relationtype,Primert
0,ЛЕТЕТЬ,птица,1.678385,j,ACe,related,semantic,sem
1,ЕХАТЬ,машина,0.93769,j,ACe,related,semantic,sem
2,СПАТЬ,сон,0.92264,j,ACe,related,semantic,sem
3,ЖЕЛАТЬ,надежда,0.76931,j,ACe,related,semantic,sem
4,ИСКАТЬ,найти,0.792785,j,ACe,related,semantic,sem
5,УБИТЬ,мертвый,0.71353,j,ACe,related,semantic,sem
6,КУРИТЬ,сигарета,0.73955,j,ACe,related,semantic,sem
7,НОСИТЬ,одежда,0.68437,j,ACe,related,semantic,sem
8,НАЧАТЬ,старт,0.71809,j,ACe,related,semantic,sem
9,ПИТЬ,вода,0.73604,j,ACe,related,semantic,sem
10,СЧИТАТЬ,мнение,0.81579,j,ACe,related,semantic,sem
11,ПОМНИТЬ,память,0.7669,j,ACe,related,semantic,sem
12,ПЛАКАТЬ,слезы,0.66729,j,ACe,related,semantic,sem
13,ХВАТИТЬ,достаточно,,,ACe,related,semantic,sem
14,ДУМАТЬ,мысль,0.80039,j,ACe,related,semantic,sem
15,СЛЫШАТЬ,ухо,0.65416,j,ACe,related,semantic,sem
16,ВЕРНУТЬ,возвращение,0.74918,j,ACe,related,semantic,sem
17,ПИСАТЬ,карандаш,0.78581,j,ACe,related,semantic,sem
18,ГОВОРИТЬ,общение,0.72717,j,ACe,related,semantic,sem
19,ЗАЯВИТЬ,сообщение,0.648305,j,ACe,related,semantic,sem
20,СТРАДАТЬ,странный,1.28474,j,ACe,related,orthographic,ort
21,СМОТРЕТЬ,смоленск,0.786235,j,ACe,related,orthographic,ort
22,СТОЯТЬ,столько,0.837675,j,ACe,related,orthographic,ort
23,ИГРАТЬ,гранит,0.744335,j,ACe,related,orthographic,ort
24,СТАВИТЬ,старик,0.91951,j,ACe,related,orthographic,ort
25,СЛУШАТЬ,случай,0.63799,j,ACe,related,orthographic,ort
26,ПРОСИТЬ,протеин,0.851015,j,ACe,related,orthographic,ort
27,МЕШАТЬ,ремешки,0.748525,j,ACe,related,orthographic,ort
28,ТЕРПЕТЬ,теперь,0.622925,j,ACe,related,orthographic,ort
29,ТЕРЯТЬ,террор,0.67466,j,ACe,related,orthographic,ort
30,СИДЕТЬ,синее,0.63401,j,ACe,related,orthographic,ort
31,ЧИТАТЬ,цитата,0.651435,j,ACe,related,orthographic,ort
32,ДЕРЖАТЬ,деревня,0.76778,j,ACe,related,orthographic,ort
33,ВЕРИТЬ,вертолет,0.632825,j,ACe,related,orthographic,ort
34,ЗВОНИТЬ,вонючий,0.65454,j,ACe,related,orthographic,ort
35,СОЗДАТЬ,здание,0.60973,j,ACe,related,orthographic,ort
36,СТРОИТЬ,строгий,0.80495,j,ACe,related,orthographic,ort
37,СОБРАТЬ,образ,0.69467,j,ACe,related,orthographic,ort
38,ВЫБРАТЬ,вибрация,0.88869,j,ACe,related,orthographic,ort
39,ТРАТИТЬ,транслит,0.656125,j,ACe,related,orthographic,ort
40,ЛЕТЕТЬ,птица,0.75031,j,Alexander_L1,related,semantic,sem
41,ЕХАТЬ,машина,0.652965,j,Alexander_L1,related,semantic,sem
42,СПАТЬ,сон,0.57703,j,Alexander_L1,related,semantic,sem
43,ЖЕЛАТЬ,надежда,0.6334,j,Alexander_L1,related,semantic,sem
44,ИСКАТЬ,найти,0.632495,j,Alexander_L1,related,semantic,sem
45,УБИТЬ,мертвый,0.633105,j,Alexander_L1,related,semantic,sem
46,КУРИТЬ,сигарета,1.189855,j,Alexander_L1,related,semantic,sem
47,НОСИТЬ,одежда,0.585175,j,Alexander_L1,related,semantic,sem
48,НАЧАТЬ,старт,0.537995,j,Alexander_L1,related,semantic,sem
49,ПИТЬ,вода,0.820765,j,Alexander_L1,related,semantic,sem
50,СЧИТАТЬ,мнение,0.819705,j,Alexander_L1,related,semantic,sem
51,ПОМНИТЬ,память,0.88175,j,Alexander_L1,related,semantic,sem
52,ПЛАКАТЬ,слезы,0.74153,j,Alexander_L1,related,semantic,sem
54,ДУМАТЬ,мысль,0.641555,j,Alexander_L1,related,semantic,sem
55,СЛЫШАТЬ,ухо,0.54947,j,Alexander_L1,related,semantic,sem
56,ВЕРНУТЬ,возвращение,1.285215,j,Alexander_L1,related,semantic,sem
57,ПИСАТЬ,карандаш,0.61991,j,Alexander_L1,related,semantic,sem
58,ГОВОРИТЬ,общение,0.6827,j,Alexander_L1,related,semantic,sem
59,ЗАЯВИТЬ,сообщение,0.71776,j,Alexander_L1,related,semantic,sem
60,СТРАДАТЬ,странный,0.63201,j,Alexander_L1,related,orthographic,ort
62,СТОЯТЬ,столько,0.516245,j,Alexander_L1,related,orthographic,ort
63,ИГРАТЬ,гранит,0.563605,j,Alexander_L1,related,orthographic,ort
64,СТАВИТЬ,старик,0.74091,j,Alexander_L1,related,orthographic,ort
65,СЛУШАТЬ,случай,0.639475,j,Alexander_L1,related,orthographic,ort
66,ПРОСИТЬ,протеин,0.633845,j,Alexander_L1,related,orthographic,ort
67,МЕШАТЬ,ремешки,0.881915,j,Alexander_L1,related,orthographic,ort
68,ТЕРПЕТЬ,теперь,0.607345,j,Alexander_L1,related,orthographic,ort
69,ТЕРЯТЬ,террор,0.835295,j,Alexander_L1,related,orthographic,ort
70,СИДЕТЬ,синее,0.65572,j,Alexander_L1,related,orthographic,ort
71,ЧИТАТЬ,цитата,0.699415,j,Alexander_L1,related,orthographic,ort
72,ДЕРЖАТЬ,деревня,0.54988,j,Alexander_L1,related,orthographic,ort
73,ВЕРИТЬ,вертолет,0.65214,j,Alexander_L1,related,orthographic,ort
74,ЗВОНИТЬ,вонючий,0.6319,j,Alexander_L1,related,orthographic,ort
75,СОЗДАТЬ,здание,0.57417,j,Alexander_L1,related,orthographic,ort
76,СТРОИТЬ,строгий,0.700585,j,Alexander_L1,related,orthographic,ort
77,СОБРАТЬ,образ,0.723235,j,Alexander_L1,related,orthographic,ort
