target,rt,participant,prime,primetype,relationtype
СТРАДАТЬ,0.603695,AAA_L1,der,related,derivation
СМОТРЕТЬ,0.600835,AAA_L1,der,related,derivation
СТОЯТЬ,0.59029,AAA_L1,der,related,derivation
ИГРАТЬ,0.62158,AAA_L1,der,related,derivation
СТАВИТЬ,0.69744,AAA_L1,der,related,derivation
СЛУШАТЬ,0.60059,AAA_L1,der,related,derivation
ПРОСИТЬ,0.534625,AAA_L1,der,related,derivation
КУРИТЬ,0.61692,AAA_L1,der,related,derivation
СЧИТАТЬ,0.532825,AAA_L1,der,related,derivation
ЖЕЛАТЬ,0.60095,AAA_L1,der,related,derivation
ИСКАТЬ,0.68672,AAA_L1,der,related,derivation
ТЕРЯТЬ,0.56475,AAA_L1,der,related,derivation
ТРАТИТЬ,0.550095,AAA_L1,der,related,derivation
СИДЕТЬ,0.55046,AAA_L1,unrel,a_unrelated,derivation
ДУМАТЬ,0.720355,AAA_L1,unrel,a_unrelated,derivation
ГОВОРИТЬ,0.60108,AAA_L1,unrel,a_unrelated,derivation
ЗВОНИТЬ,0.53337,AAA_L1,unrel,a_unrelated,derivation
ДЕРЖАТЬ,0.55397,AAA_L1,unrel,a_unrelated,derivation
ВЕРИТЬ,0.600175,AAA_L1,unrel,a_unrelated,derivation
СТРОИТЬ,0.591845,AAA_L1,unrel,a_unrelated,derivation
ПЛАКАТЬ,0.484155,AAA_L1,inf,related,inflection
ВЫБРАТЬ,0.568555,AAA_L1,inf,related,inflection
ВСТРЕЧАТЬ,0.552475,AAA_L1,inf,related,inflection
КРИЧАТЬ,0.450625,AAA_L1,inf,related,inflection
СООБЩИТЬ,0.57078,AAA_L1,inf,related,inflection
УБИТЬ,0.523015,AAA_L1,inf,related,inflection
БЕЖАТЬ,0.5354,AAA_L1,inf,related,inflection
БРОСИТЬ,0.55088,AAA_L1,unrel,a_unrelated,inflection
УМЕТЬ,0.562235,AAA_L1,inf,related,inflection
ПОНЯТЬ,0.50397,AAA_L1,unrel,a_unrelated,inflection
НАЧАТЬ,0.53399,AAA_L1,unrel,a_unrelated,inflection
ПИСАТЬ,0.664765,AAA_L1,unrel,a_unrelated,inflection
РЕШИТЬ,0.534075,AAA_L1,unrel,a_unrelated,inflection
СЛЫШАТЬ,0.548935,AAA_L1,unrel,a_unrelated,inflection
ПОМНИТЬ,0.664795,AAA_L1,unrel,a_unrelated,inflection
УЗНАТЬ,0.50804,AAA_L1,unrel,a_unrelated,inflection
ОЖИДАТЬ,0.78348,AAA_L1,unrel,a_unrelated,inflection
СНИМАТЬ,0.550155,AAA_L1,unrel,a_unrelated,inflection
ЗАБЫТЬ,0.81826,AAA_L1,inf,related,inflection
СОБРАТЬ,0.469695,AAA_L1,inf,related,inflection
СТРАДАТЬ,0.517845,daria25,der,related,derivation
СМОТРЕТЬ,0.473765,daria25,der,related,derivation
СТОЯТЬ,0.58414,daria25,der,related,derivation
ИГРАТЬ,0.68884,daria25,der,related,derivation
СТАВИТЬ,0.85915,daria25,der,related,derivation
СЛУШАТЬ,0.817035,daria25,der,related,derivation
ПРОСИТЬ,0.55791,daria25,der,related,derivation
КУРИТЬ,1.38365,daria25,der,related,derivation
СЧИТАТЬ,0.65686,daria25,der,related,derivation
ЖЕЛАТЬ,0.58568,daria25,der,related,derivation
ИСКАТЬ,0.605495,daria25,der,related,derivation
ТЕРЯТЬ,0.571775,daria25,der,related,derivation
ТРАТИТЬ,0.539055,daria25,der,related,derivation
ДУМАТЬ,0.56621,daria25,unrel,a_unrelated,derivation
ГОВОРИТЬ,0.700595,daria25,unrel,a_unrelated,derivation
ЗВОНИТЬ,0.511085,daria25,unrel,a_unrelated,derivation
ДЕРЖАТЬ,0.566375,daria25,unrel,a_unrelated,derivation
ВЕРИТЬ,0.544445,daria25,unrel,a_unrelated,derivation
СТРОИТЬ,,daria25,unrel,a_unrelated,derivation
ПЛАКАТЬ,0.692295,daria25,inf,related,inflection
ВЫБРАТЬ,0.538265,daria25,inf,related,inflection
ВСТРЕЧАТЬ,0.515085,daria25,inf,related,inflection
КРИЧАТЬ,1.274595,daria25,inf,related,inflection
СООБЩИТЬ,0.665105,daria25,inf,related,inflection
УБИТЬ,0.953395,daria25,inf,related,inflection
БЕЖАТЬ,0.637905,daria25,inf,related,inflection
БРОСИТЬ,0.835605,daria25,unrel,a_unrelated,inflection
УМЕТЬ,0.809385,daria25,inf,related,inflection
НАЧАТЬ,0.682795,daria25,unrel,a_unrelated,inflection
ПИСАТЬ,0.641515,daria25,unrel,a_unrelated,inflection
РЕШИТЬ,0.705825,daria25,unrel,a_unrelated,inflection
СЛЫШАТЬ,0.85019,daria25,unrel,a_unrelated,inflection
ПОМНИТЬ,0.51419,daria25,unrel,a_unrelated,inflection
УЗНАТЬ,0.73385,daria25,unrel,a_unrelated,inflection
ОЖИДАТЬ,0.749345,daria25,unrel,a_unrelated,inflection
СНИМАТЬ,0.81584,daria25,unrel,a_unrelated,inflection
ЗАБЫТЬ,0.793295,daria25,inf,related,inflection
СОБРАТЬ,,daria25,inf,related,inflection
СТРАДАТЬ,0.686695,jishasha_L1,der,related,derivation
ИГРАТЬ,0.603485,jishasha_L1,der,related,derivation
СТАВИТЬ,0.588675,jishasha_L1,der,related,derivation
СЛУШАТЬ,0.51826,jishasha_L1,der,related,derivation
ПРОСИТЬ,0.55057,jishasha_L1,der,related,derivation
СЧИТАТЬ,0.555635,jishasha_L1,der,related,derivation
ИСКАТЬ,0.582385,jishasha_L1,der,related,derivation
ТЕРЯТЬ,0.38975,jishasha_L1,der,related,derivation
ТРАТИТЬ,0.72163,jishasha_L1,der,related,derivation
СИДЕТЬ,0.66665,jishasha_L1,unrel,a_unrelated,derivation
ДУМАТЬ,0.535235,jishasha_L1,unrel,a_unrelated,derivation
